job_title,company,job_link,easy_apply,description,job_id,source_keyword,scrape_date
"News & Property Editor, Country Life",Future Publishing,https://uk.indeed.com/rc/clk?jk=1c171cd6f53685ea&bb=h8bm0ZD1kbwAMrqoGN4PPBofFt88hhcFvm3j0CoMZZwKE-E0BaZ-EC8Zk1CAYGJJJIq-XWOIDBtMiaAj7ZklKbOaAHIKOe0xojkC8Kjm0NBkjBjD4wgpTLCzvoHw7I2R&xkcb=SoDX67M3ySgVWw2WYR0LbzkdCdPP&fccid=b33b6fa3d11b4677&vjs=3,Yes,"This is a rare opportunity to play a leading role on a much-loved brand with a loyal audience, deep heritage, and significant commercial importance. You'll be part of a small, passionate and collaborative team, producing best-in-class content that genuinely matters to our readers and partners alike.
What you'll be doing
Reporting to the Editor-in-Chief, you'll lead and curate the magazine’s weekly news section, delivering sharp, relevant and original stories that resonate with our audience and maintain our position as a must-read in the sector. Equally crucial is ownership of Country Life’s property content, the cornerstone of our brand for over 125 years and a key driver of both editorial and commercial success.
You'll work across both print and digital platforms, helping to drive subscriptions, newsstand sales, and advertising revenue.
Experience that will put you ahead of the curve
Experience in news or property journalism within premium lifestyle, property or heritage media
An understanding of the luxury and country property market
Experience working across both print and digital platforms, with an understanding of what content works where
Experience maintaining trusted industry relationships
Passion for the Country Life brand, its values, and its readers
What's in it for you
The expected range for this role is £29,000 - £50,000
This is a Hybrid role from our London Office, working three days from the office, two from home
… Plus more great perks, which include;
Uncapped leave, because we trust you to manage your workload and time
When we hit our targets, enjoy a share of our profits with a bonus
Refer a friend and get rewarded when they join Future
Wellbeing support with access to our Colleague Assistant Programmes
Opportunity to purchase shares in Future, with our Share Incentive Plan
Internal job family level E5
Who are we…
We’re Future, the global leader in specialist media. With over 3,000 employees working across 200+ media brands, Future is a prime destination for passionate people worldwide looking to consume trusted, expert content that educates and inspires action - both online and off - through our specialist websites, magazines, events, newsletters, podcasts and social spaces.
We’ve got ambitious plans that further build on our growth momentum and unlock new opportunities – and we’re looking for driven people who want to be a part of it!
Our Future, Our Responsibility - Inclusion and Diversity at Future
We embrace and celebrate diversity, making it part of who we are.
Different perspectives spark ideas, fuel creativity, and push us to innovate. That’s why we’re building a workplace where everyone feels valued, respected, and empowered to thrive.
When it comes to hiring, we keep it fair and inclusive, welcoming talent from every walk of life. It’s not just about what you bring to the table — it’s about making sure the table has room for everyone.
Because a diverse team isn’t just good for business. It’s the Future.
Please let us know if you need any reasonable adjustments made so we can give you the best experience!
Find out more about Our Future, Our Responsibility on our website.
#LI-Hybrid",1c171cd6f53685ea,News Editor,2025-05-06
Breaking News Editor,The Daily Beast,https://uk.indeed.com/rc/clk?jk=7e7ee40fdf65161d&bb=h8bm0ZD1kbwAMrqoGN4PPCHoylqNI8wuXTjpV5aBDBHnSgdl-qKyUbsULNf0iVLouy6c37UZjn9Edz1a0kluF0aLUhM7_JtuQcaCBhseFryQT7nkc5qaNuFEaPEhoeCW&xkcb=SoDt67M3ySgVWw2WYR0NbzkdCdPP&fccid=c09c7ed3169f74f6&vjs=3,Yes,"About the Daily Beast
The Daily Beast delivers award-winning original reporting and sharp opinions from big personalities in the arenas of politics, pop culture, world news, and more. Fiercely independent and armed with irreverent intelligence, The Daily Beast now reaches more than 20 million readers per month.
Job Description
The Daily Beast is seeking a dynamic, insightful, and experienced Breaking News Editor to join our team. You will be based outside the U.S. to help deliver news to our U.S. audience around the clock. You are an all-rounder who is on top of U.S. politics, global news, media and pop culture. You have a deep understanding of American culture, preferably having lived in the U.S., or a track record of working for American publications.
The role will be primarily Monday to Friday, editing stories from reporters in the London bureau during London office hours, but there may be some weekend and evening shifts.
Key Responsibilities
Identify stories that matter and write intelligent, exciting headlines with a punchy attitude that separates us from other outlets.
Collaborate with other editors to ensure comprehensive, timely coverage.
Copy edit with a precise eye for detail and an ability to add wit and flair.
Qualifications
Minimum of 5 years of experience in news.
Exceptional writing, editing, and communication skills.
Proven ability to work under tight deadlines.
Ability to work both independently and as part of a team.
Why Join Us?
Be part of a respected and influential news organization.
Engage with a dedicated audience passionate about political news.
Enjoy a collaborative and fast-paced work environment.
Location is flexible via remote work.
Pay Range Salary
$65,000-$85,000
Additional Information
Don't meet every single requirement listed here? If you're interested in joining the Beast but your past experience doesn't align perfectly with this job description, we encourage you to give it a shot all the same. It might turn out that you're just the right candidate for this or other roles. See more about our commitment to diversity at https://www.thedailybeast.com/company/diversity
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender identity or expression, sexual orientation, age, marital status, veteran status, or disability status.",7e7ee40fdf65161d,News Editor,2025-05-06
Assistant Features Editor,dmg::media,https://uk.indeed.com/rc/clk?jk=62fb9e99a4209925&bb=h8bm0ZD1kbwAMrqoGN4PPEiNVKGKj38Q-78IbG3UbRiPSh_dtwr6UbMx3fGnB1fB6VTqPvWpDtcy6ELWjgfwX0qrREIosOVj0YL1CeJdQl5hjnbtNGK0aEX4EdRrOquh&xkcb=SoBZ67M3ySgVWw2WYR0MbzkdCdPP&fccid=33d763622718c85c&vjs=3,Yes,"Assistant Features Editor
Location: i Offices, HSK, London
Position: Permanent

Job Introduction
i is looking for a creative Assistant Features Editor to join its Features & Lifestyle desk. As part of our growing team, you will conceive, commission and edit engaging high-quality content - from on-the-day reactive pieces to long-form, in-depth features and interviews - to inform and entertain our digital readership and grow our subscriber base.
You'll be full of original ideas, engaging new formats and clever, counterintuitive angles that bounce off the news agenda. You'll be in tune with our digital audience and aware of the demands of third-party platforms. You'll use data to inform your commissioning and will understand which platforms work for different stories and why, and how to headline features to connect with new readers.
We're looking for a confident commissioner and editor, with a database of brilliant writers and an instinct for a great digital story.

Main Responsibilities
Generate brilliant news features, interviews, on-the-day reactive stories, original new formats and long reads to grow our subscriber base
Propose smart angles that pivot off the news agenda to help to help develop i's voice in the digital landscape
Commission and edit high-quality, well researched and compelling copy that works across all platforms
Maintain ownership of a diary of relevant events and forward plan effectively, identifying opportunities for compelling features and opinion
Use audience insight to inform ideas and commissioning
Work quickly, creatively and accurately under pressure to deadline
Ensure all digital copy looks polished, commission graphics, illustrations and composite images

Person Specification
A self-starter bursting with ideas and a track record in developing smart, original journalism
Ability to commission and edit sparkling, accurate and engaging copy under pressure
Adept at using data to inspire ideas and commissioning
Strong contacts and demonstrable ability to use them to create impactful journalism
Experience of working in a multiplatform or digital publishing environment
A commitment to i's editorial standards of impartial and incisive coverage
Experience with digital CMS
Good knowledge of media law and the Editors' Code of Practice

About The i Paper
The i Paper is the only national newspaper that's never supported a political party, and it reaches more than [9.2] million readers each month in print and online.
It is committed to delivering accurate, impartial news and intelligent debate, trusting readers to make up their own minds.
It is the winner of 2024 UK Newspaper of the Year and is rapidly growing its digital subscriptions base, recently hitting [70k] total subscriptions.
www.theipaper.com",62fb9e99a4209925,News Editor,2025-05-06
Features editor,With Intelligence,https://uk.indeed.com/rc/clk?jk=993e7972b17fecbe&bb=h8bm0ZD1kbwAMrqoGN4PPDCSjRNxkx9NExd8ObIm3iRSgXeBp4VQerb7f_SZdnwFDnupUUEyrKEkAjhljU3FkJFQp6NHKFdaHTQkMQbdjRyiqIkWwX24lejWDAoj15z1&xkcb=SoCw67M3ySgVWw2WYR0DbzkdCdPP&fccid=bc08d699d841b541&vjs=3,Yes,"EGR Global, part of With Intelligence, is the world’s leading B2B publisher and membership networking group for the global online gambling industry, featuring consistent exclusive news, interviews and comment from the most influential people in the sector. EGR also runs an unparalleled portfolio of global events throughout the year.
Role overview:
This is an ideal position for an experienced editor looking to join a global media brand with access to some of the world's most influential operators in the sports betting and igaming space.
As editor, you will lead the development of high-quality, engaging long-form content across our publication. You will work closely with a network of freelance and staff journalists to commission content, shape editorial direction and ensure content meets our standards of accuracy, style, and voice.
In this role, you’ll work alongside the executive editor to manage the full lifecycle of features - from ideation and commissioning to editing and proofreading. You’ll be expected to maintain strong collaborative relationships with contributors, provide constructive feedback and help refine pitches into compelling narratives that resonate with our audience.
Responsibilities:
Write regular features and analysis on the key issues impacting the industry
Regularly interview and profile senior industry executives at some of the world’s biggest gambling brands
Commission features from freelance and staff journalists, setting deadlines, shaping story ideas and briefs
Secure and break exclusive news where possible alongside the EGR news team
Edit and proofread submitted work to ensure clarity, factual accuracy and house style adherence
Collaborate with writers throughout the editing process, offering developmental feedback
Contribute to the evolution of the features section, identifying content gaps and new opportunities
Assist on production of the print products
Support senior editors in proofreading online and in-print content
Represent the EGR brand at a range of events, conferences and summits
Requirements
Highly motivated self-starter with proven experience as an editor or journalist -preferably in a features or long-form editorial environment
Excellent written and verbal communication skills
Exceptional editing and proofreading skills, with strong attention to detail and tone
Ability to manage multiple projects and deadlines independently
Strong editorial judgement and a clear understanding of what makes compelling content
Familiarity with legal and ethical standards in journalism (e.g., fact-checking, attribution, copyright)
An understanding of the online gambling industry as well as an existing contact book
Benefits
24 days annual leave rising to 29 days
Annual Bonus
Enhanced parental leave
Medicash (Health Cash Plans)
Wellness Days
Flexible Fridays (Opportunity to finish early)
Birthday day off
Employee assistance program
Travel loan scheme
Charity days
Breakfast provided
Social Events throughout the year
Hybrid Working
eGR Global is part of With Intelligence, based at One London Wall, London, EC2Y 5EA. We are an Equal Opportunity Employer. Our policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, colour, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable law.",993e7972b17fecbe,News Editor,2025-05-06
NBC News Desk Editor (9-month FTC),NBCUniversal,https://uk.indeed.com/rc/clk?jk=bff10a7ace39d4b8&bb=h8bm0ZD1kbwAMrqoGN4PPDgWHSVyKCKxxJ4yIi_0Y9BSzYCTAp33GAc2WrYHwQF4L_wp7y5AautAMNcIkmalW6ztyTwRNJx8g4JlmSKg-j6jf6xGA9nFve0jneh6AIZf&xkcb=SoAE67M3ySgVWw2WYR0CbzkdCdPP&fccid=35d653c09c2712b6&vjs=3,Yes,"Company Description

NBCUniversal is one of the world's leading media and entertainment companies. We create world-class content, which we distribute across our portfolio of film, television, and streaming, and bring to life through our theme parks and consumer experiences. We own and operate leading entertainment and news brands, including NBC, NBC News, MSNBC, CNBC, NBC Sports, Telemundo, NBC Local Stations, Bravo, USA Network, and Peacock, our premium ad-supported streaming service. We produce and distribute premier filmed entertainment and programming through Universal Filmed Entertainment Group and Universal Studio Group, and have world-renowned theme parks and attractions through Universal Destinations & Experiences. NBCUniversal is a subsidiary of Comcast Corporation.
Our impact is rooted in improving the communities where our employees, customers, and audiences live and work. We have a rich tradition of giving back and ensuring our employees have the opportunity to serve their communities. We champion an inclusive culture and strive to attract and develop a talented workforce to create and deliver a wide range of content reflecting our world.
Comcast NBCUniversal has announced its intent to create a new publicly traded company ('SpinCo') comprised of most of NBCUniversal's cable television networks, including USA Network, CNBC, MSNBC, Oxygen, E!, SYFY and Golf Channel along with complementary digital assets Fandango, Rotten Tomatoes, GolfNow, GolfPass, and SportsEngine. The well-capitalized company will have significant scale as a pure-play set of assets anchored by leading news, sports and entertainment content. The spin-off is expected to be completed during 2025.

Job Description

You’ll be at the core of NBC News’s international operation, working alongside the Senior Desk Editor in coordinating and supporting teams in the field and in the newsroom as they produce content for our key platforms, including TODAY, Nightly News, MSNBC and NBC News Digital. We’ll look to you to draw on your experience of working on assignment desks and be resourceful in juggling various tasks, including organizing lives and pre-tapes, managing requests, setting up interviews, deploying personnel and booking travel - all while keeping the company and field teams up to date with the latest developing news stories and video. You’ll ideally be familiar with video transmissions from the field and will be comfortable editing short video clips to send to field teams or across the network. We’ll also expect you to use social media and research tools to quickly pick up on interesting stories and be first in our coverage. You will have excellent communication skills and be able to persuade people both inside and outside the organization on tight deadlines and during difficult and stressful periods. You’ll need to be meticulous and have excellent attention-to-detail to keep across all the work that goes on for the International Desk on a daily basis.
Main responsibilities include, but are not limited to:

Coordinating resources and communicating with the senior desk editor, field teams, show producers & editing producers, content platforms & platform editors
Working with the live request coordinator to assign and manage live requests for various NBC News platforms & partners
Coordinating with SatOps, MCR and field teams on live shots
Updating the network, editors and field teams with breaking news updates & compelling video
Compiling accurate staffing logs, editorial updates & output records
Handling and booking live transmissions or tape windows with third party vendors
Deploying teams on short notice to travel abroad & booking travel
Assisting field teams with risk assessments & managers in ensuring safety protocols
Working with the senior desk editor or individually to identify and pitch key stories & editorial themes
Verifying stories by contacting local sources, government officials, companies, or related individuals
Working with NBC News’s partners & affiliates to request video, editorial information, or assistance
Finding & transmitting key video from agencies, archives or elsewhere for news stories across the network
Supporting the edit room or field edits

Qualifications

Skills and Experience

Experience working on the news desk of a leading international TV news organization, ideally with a US outlet
Capacity to work in a fast-paced and demanding live news environment
Strong news judgment, knowledge of current events & familiarity with previous key news stories
Strong attention to detail & accuracy
Ability to multi-task
Excellent communication skills & professional conduct, especially in high-pressure & stressful situations
Experience with managing & booking satellite operations, preferred
Strong understanding of the role of social media in news broadcasting and multi-platform delivery
Experience with iNews & Avid preferred
Experience of using video agencies, preferred
Understanding of video and photo licensing, legal principles, and rights of usage, preferred
Familiarity with NBC News output and editorial standards

Requirements

University degree or equivalent experience
Eligible to work in the UK
Must be able to work flexible hours, including overnights
High standard of written English
Polite phone manner and good communication skills
Strong teamwork ethic
Additional languages preferred

Additional Information

As part of our selection process, external candidates may be required to attend an in-person interview with an NBCUniversal employee at one of our locations prior to a hiring decision. NBCUniversal's policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law.
If you are a qualified individual with a disability or a disabled veteran and require support throughout the application and/or recruitment process as a result of your disability, you have the right to request a reasonable accommodation. You can submit your request to AccessibilitySupport@nbcuni.com.",bff10a7ace39d4b8,News Editor,2025-05-06
Money Editor,The Telegraph,https://uk.indeed.com/rc/clk?jk=9d4de90a6930b445&bb=h8bm0ZD1kbwAMrqoGN4PPHKkxtqQ0DCpucAmqu6lWsp4oRGQBmay59vF9ISyxCpUb0t4jbdXe9PZek6IKDJO47bvDyKYLSx-zjaZ2IKLkf4eWK0wDpBsQPh_stJNjqBS&xkcb=SoAX67M3ySgVWw2WYR0GbzkdCdPP&fccid=866906c779d635c6&vjs=3,Yes,"About The Role
A senior position reporting to the Executive Money Editor, with prominence inside The Telegraph and externally, the Money Editor is tasked with delivering all of our personal finance journalism and managing the large team of reporters responsible for The Telegraph’s award-winning coverage.

Key Responsibilities
Commissioning and editing the best personal finance journalism in Britain, including news, features, comment, analysis, expert advice, guides, tools and more
Working with the Head of Money Publishing to ensure digital production of all Money content, including newsletters, is of the highest quality with the best presentation
Writing a weekly comment about a personal finance issue pertinent to Telegraph readers
Using performance data and audience analytics to inform and improve content strategy and idea generation
Managing a large team of direct reports, including reporters and editors, to bring out the maximum potential of the team
Organising the flow of content to meet the requirements of a busy, 24/7 digital newsroom
Developing campaigns and investigations
Overseeing Money’s print supplements
Collaborating with Telegraph colleagues in other departments including News, Business, Social, Audience, Design, Commercial etc
Key Skills
A proven leader with considerable experience working in journalism at a national level
An exceptional editor with an instinctive grasp of tone
Bursting with ideas to commission and edit content across a range of formats
Politically savvy with a nose for news
Alive to the interests of our audience and our editorial priorities
Hungry to grow our audience and full of ideas for how to do so
Knowledgeable and interested in all fields of personal finance
Highly numerate
Experienced in print and digital publishing with an ability to identify the strongest angle and a knack for writing headlines
Comfortable with the use of analytics
Able to win the confidence of key colleagues across many editorial and non-editorial departments
Able to motivate and manage reporters and editors while demanding accuracy and excellence in often pressured circumstances
Aware of legal and regulatory requirements
Understanding of the Telegraph’s subscription model
Highly organised, energetic, resilient and enthusiastic
Benefits:
The nature of our industry means life at the Telegraph Media Group is fast-paced, demanding, and interesting. We also want it to be rewarding for everyone who works here by creating a suite of benefits that contribute to lifestyle choices and leisure activities. From dynamic working opportunities, medical cover, and parental leave (six months fully paid maternity leave and enhanced paternity/partner leave), to life assurance and season ticket loans, you can choose from a range of flexible benefits, designed to support your lifestyle and help you achieve a healthy work-life balance.
Training and development
With support from your manager and colleagues, you’ll also have access to a variety of training and development opportunities through The Academy. Covering a range of personal and professional skills, our courses enable you to develop an enjoyable and rewarding career.
Our commitment to inclusion
At Telegraph Media Group, we foster a diverse and inclusive workplace and we are committed to building a team that reflects a wide variety of skills, perspectives and backgrounds. We believe in equality of opportunity and welcome candidates from all backgrounds, regardless of age, gender, ethnicity, disability, sexual orientation, gender identity, socio-economic background, religion and/or belief.
We are proud to be a Level 3 Disability Confident Leader as part of the government’s Disability Confident Scheme. If you are disabled or have a long-term health condition and would like support in applying for any of our roles or if you require any reasonable adjustments in the recruitment process with us, please make us aware.
To find out more about Diversity, Inclusion and Belonging at Telegraph Media Group, and for more information on our purpose, beliefs, and people values, please visit our website.",9d4de90a6930b445,News Editor,2025-05-06
"Senior Digital Staff Writer, FourFourTwo",Future Publishing,https://uk.indeed.com/rc/clk?jk=4c67e491ed855f70&bb=k6aPcA7WyNthQKDnLmqmV9cLZ-Wr8YAinDEVcXMQl3fHOzbijiJLJAj1oaoo2tUTUZu3FisBc1ipWnwn3RsmSbbIGfLyO-zGif-HvS39zcLAkVgPOZEdeHtQXgLmw6J1&xkcb=SoCM67M3ySgQiWW9hx0LbzkdCdPP&fccid=b33b6fa3d11b4677&vjs=3,Yes,"We're looking for a passionate sports writer with a deep love of football to join the FourFourTwo team. This is an exciting opportunity for an experienced writer to join one of the UK’s most loved football brands and play a significant role in the digital vertical.
What you'll be doing
Reporting to the Deputy Editor, you’ll write high-quality news, features, quizzes and advice for FourFourTwo.com readers. You'll also be responsible for the brand’s digital ecommerce content, producing and updating the brand's flagship football boot buying guides and adapting these to meet best SEO practice.
Experience that will put you ahead of the curve
Experience writing football news online quickly and efficiently
Knowledge and understanding of social media platforms: X, Facebook, Instagram, TikTok, with a keen eye for memes and the latest football trends
Experience sub-editing and publishing football stories online
An eye for stories and the ability to quickly turn snippets of information into rounded online articles suitable for FourFourTwo.com’s audience
Experience interviewing high-profile football personalities in person and remotely and occasionally on camera
What's in it for you
The expected range for this role is £27,500 - £28,000
This is a Hybrid role from our London Office, working three days from the office, two from home
… Plus more great perks, which include;
Uncapped leave, because we trust you to manage your workload and time
When we hit our targets, enjoy a share of our profits with a bonus
Refer a friend and get rewarded when they join Future
Wellbeing support with access to our Colleague Assistant Programmes
Opportunity to purchase shares in Future, with our Share Incentive Plan
Internal job family level E6
Who are we…
We’re Future, the global leader in specialist media. With over 3,000 employees working across 200+ media brands, Future is a prime destination for passionate people worldwide looking to consume trusted, expert content that educates and inspires action - both online and off - through our specialist websites, magazines, events, newsletters, podcasts and social spaces.
We’ve got ambitious plans that further build on our growth momentum and unlock new opportunities – and we’re looking for driven people who want to be a part of it!
Our Future, Our Responsibility - Inclusion and Diversity at Future
We embrace and celebrate diversity, making it part of who we are.
Different perspectives spark ideas, fuel creativity, and push us to innovate. That’s why we’re building a workplace where everyone feels valued, respected, and empowered to thrive.
When it comes to hiring, we keep it fair and inclusive, welcoming talent from every walk of life. It’s not just about what you bring to the table — it’s about making sure the table has room for everyone.
Because a diverse team isn’t just good for business. It’s the Future.
Please let us know if you need any reasonable adjustments made so we can give you the best experience!
Find out more about Our Future, Our Responsibility on our website.
#LI-Hybrid",4c67e491ed855f70,News Editor,2025-05-06
Reporter (The Architects’ Journal),Future Publishing,https://uk.indeed.com/rc/clk?jk=97048ee409283883&bb=k6aPcA7WyNthQKDnLmqmV-9n21VvzJqBxQSGERO3NpaO-JG3n-wRty1rnr-EPfV9G42bDczltxbBl_-VFovOfbekbjXetdIcjYDoucr640MN97KP9VmLt4JExM_IQ6T4&xkcb=SoA467M3ySgQiWW9hx0KbzkdCdPP&fccid=ae881bb97152637e&cmp=Emap&ti=Reporter&vjs=3,Yes,"We're looking for a passionate sports writer with a deep love of football to join the FourFourTwo team. This is an exciting opportunity for an experienced writer to join one of the UK’s most loved football brands and play a significant role in the digital vertical.
What you'll be doing
Reporting to the Deputy Editor, you’ll write high-quality news, features, quizzes and advice for FourFourTwo.com readers. You'll also be responsible for the brand’s digital ecommerce content, producing and updating the brand's flagship football boot buying guides and adapting these to meet best SEO practice.
Experience that will put you ahead of the curve
Experience writing football news online quickly and efficiently
Knowledge and understanding of social media platforms: X, Facebook, Instagram, TikTok, with a keen eye for memes and the latest football trends
Experience sub-editing and publishing football stories online
An eye for stories and the ability to quickly turn snippets of information into rounded online articles suitable for FourFourTwo.com’s audience
Experience interviewing high-profile football personalities in person and remotely and occasionally on camera
What's in it for you
The expected range for this role is £27,500 - £28,000
This is a Hybrid role from our London Office, working three days from the office, two from home
… Plus more great perks, which include;
Uncapped leave, because we trust you to manage your workload and time
When we hit our targets, enjoy a share of our profits with a bonus
Refer a friend and get rewarded when they join Future
Wellbeing support with access to our Colleague Assistant Programmes
Opportunity to purchase shares in Future, with our Share Incentive Plan
Internal job family level E6
Who are we…
We’re Future, the global leader in specialist media. With over 3,000 employees working across 200+ media brands, Future is a prime destination for passionate people worldwide looking to consume trusted, expert content that educates and inspires action - both online and off - through our specialist websites, magazines, events, newsletters, podcasts and social spaces.
We’ve got ambitious plans that further build on our growth momentum and unlock new opportunities – and we’re looking for driven people who want to be a part of it!
Our Future, Our Responsibility - Inclusion and Diversity at Future
We embrace and celebrate diversity, making it part of who we are.
Different perspectives spark ideas, fuel creativity, and push us to innovate. That’s why we’re building a workplace where everyone feels valued, respected, and empowered to thrive.
When it comes to hiring, we keep it fair and inclusive, welcoming talent from every walk of life. It’s not just about what you bring to the table — it’s about making sure the table has room for everyone.
Because a diverse team isn’t just good for business. It’s the Future.
Please let us know if you need any reasonable adjustments made so we can give you the best experience!
Find out more about Our Future, Our Responsibility on our website.
#LI-Hybrid",97048ee409283883,News Editor,2025-05-06
News SEO Editor,Future Publishing,https://uk.indeed.com/rc/clk?jk=ec7f742cea2c5a43&bb=k6aPcA7WyNthQKDnLmqmV4-ZDLDhke2nr6s0lv_-R8zxYXM8Kgu3-NvhC38kIzalmBECbM67ezV9DIZwACdCYOtx5dXgUzilvxLNLrLx--fjxSSifgaybwSSd08akLI3&xkcb=SoDC67M3ySgQiWW9hx0BbzkdCdPP&fccid=33d763622718c85c&vjs=3,Yes,"We're looking for a passionate sports writer with a deep love of football to join the FourFourTwo team. This is an exciting opportunity for an experienced writer to join one of the UK’s most loved football brands and play a significant role in the digital vertical.
What you'll be doing
Reporting to the Deputy Editor, you’ll write high-quality news, features, quizzes and advice for FourFourTwo.com readers. You'll also be responsible for the brand’s digital ecommerce content, producing and updating the brand's flagship football boot buying guides and adapting these to meet best SEO practice.
Experience that will put you ahead of the curve
Experience writing football news online quickly and efficiently
Knowledge and understanding of social media platforms: X, Facebook, Instagram, TikTok, with a keen eye for memes and the latest football trends
Experience sub-editing and publishing football stories online
An eye for stories and the ability to quickly turn snippets of information into rounded online articles suitable for FourFourTwo.com’s audience
Experience interviewing high-profile football personalities in person and remotely and occasionally on camera
What's in it for you
The expected range for this role is £27,500 - £28,000
This is a Hybrid role from our London Office, working three days from the office, two from home
… Plus more great perks, which include;
Uncapped leave, because we trust you to manage your workload and time
When we hit our targets, enjoy a share of our profits with a bonus
Refer a friend and get rewarded when they join Future
Wellbeing support with access to our Colleague Assistant Programmes
Opportunity to purchase shares in Future, with our Share Incentive Plan
Internal job family level E6
Who are we…
We’re Future, the global leader in specialist media. With over 3,000 employees working across 200+ media brands, Future is a prime destination for passionate people worldwide looking to consume trusted, expert content that educates and inspires action - both online and off - through our specialist websites, magazines, events, newsletters, podcasts and social spaces.
We’ve got ambitious plans that further build on our growth momentum and unlock new opportunities – and we’re looking for driven people who want to be a part of it!
Our Future, Our Responsibility - Inclusion and Diversity at Future
We embrace and celebrate diversity, making it part of who we are.
Different perspectives spark ideas, fuel creativity, and push us to innovate. That’s why we’re building a workplace where everyone feels valued, respected, and empowered to thrive.
When it comes to hiring, we keep it fair and inclusive, welcoming talent from every walk of life. It’s not just about what you bring to the table — it’s about making sure the table has room for everyone.
Because a diverse team isn’t just good for business. It’s the Future.
Please let us know if you need any reasonable adjustments made so we can give you the best experience!
Find out more about Our Future, Our Responsibility on our website.
#LI-Hybrid",ec7f742cea2c5a43,News Editor,2025-05-06
Fashion Editor/Writer - Internship (Remote),Future Publishing,https://uk.indeed.com/rc/clk?jk=043b689a77d58190&bb=k6aPcA7WyNthQKDnLmqmV2Nn8HPD4JAj6Y8c8E81PZXGUQ6h6Ds-H2cEwKPoz4xE0yrmWcxaoB6gsO9H_c5EVyINQaQaYSD-61J1GhcS9tp_RveEVFf5y6iEjj-1zosX&xkcb=SoD467M3ySgQiWW9hx0HbzkdCdPP&fccid=74ae7b3b3e540256&cmp=Fizzy-Magazine&ti=Fashion+Intern&vjs=3,Yes,"We're looking for a passionate sports writer with a deep love of football to join the FourFourTwo team. This is an exciting opportunity for an experienced writer to join one of the UK’s most loved football brands and play a significant role in the digital vertical.
What you'll be doing
Reporting to the Deputy Editor, you’ll write high-quality news, features, quizzes and advice for FourFourTwo.com readers. You'll also be responsible for the brand’s digital ecommerce content, producing and updating the brand's flagship football boot buying guides and adapting these to meet best SEO practice.
Experience that will put you ahead of the curve
Experience writing football news online quickly and efficiently
Knowledge and understanding of social media platforms: X, Facebook, Instagram, TikTok, with a keen eye for memes and the latest football trends
Experience sub-editing and publishing football stories online
An eye for stories and the ability to quickly turn snippets of information into rounded online articles suitable for FourFourTwo.com’s audience
Experience interviewing high-profile football personalities in person and remotely and occasionally on camera
What's in it for you
The expected range for this role is £27,500 - £28,000
This is a Hybrid role from our London Office, working three days from the office, two from home
… Plus more great perks, which include;
Uncapped leave, because we trust you to manage your workload and time
When we hit our targets, enjoy a share of our profits with a bonus
Refer a friend and get rewarded when they join Future
Wellbeing support with access to our Colleague Assistant Programmes
Opportunity to purchase shares in Future, with our Share Incentive Plan
Internal job family level E6
Who are we…
We’re Future, the global leader in specialist media. With over 3,000 employees working across 200+ media brands, Future is a prime destination for passionate people worldwide looking to consume trusted, expert content that educates and inspires action - both online and off - through our specialist websites, magazines, events, newsletters, podcasts and social spaces.
We’ve got ambitious plans that further build on our growth momentum and unlock new opportunities – and we’re looking for driven people who want to be a part of it!
Our Future, Our Responsibility - Inclusion and Diversity at Future
We embrace and celebrate diversity, making it part of who we are.
Different perspectives spark ideas, fuel creativity, and push us to innovate. That’s why we’re building a workplace where everyone feels valued, respected, and empowered to thrive.
When it comes to hiring, we keep it fair and inclusive, welcoming talent from every walk of life. It’s not just about what you bring to the table — it’s about making sure the table has room for everyone.
Because a diverse team isn’t just good for business. It’s the Future.
Please let us know if you need any reasonable adjustments made so we can give you the best experience!
Find out more about Our Future, Our Responsibility on our website.
#LI-Hybrid",043b689a77d58190,News Editor,2025-05-06
